ReceiptNumber,Date,Supplier,InvoiceNumber,Reference,Designation,Quantity,UnitPrice,TVA_Percent,Discount_Percent,MontantHT,MontantTVA,MontantTTC,UnitIndex,serial_number
26/000001,13/01/2026,K TRADING GLOBAL,,023,PISTA HR CARBON 110 cc,1,3538.305,19,5,10084.169,1915.992,12000.161,1/1,LCS4BGN69S1000624
26/000002,17/02/2026,K TRADING GLOBAL,,013,PISTA HR+ CARBONE 124 cc,1,3715.17,19,5,17647.059,3352.941,21000.001,1/1,LCS4BJN83T1104123
26/000002,17/02/2026,K TRADING GLOBAL,,014,PISTA HR+ VERT MARRON 124 cc,1,3715.17,19,5,17647.059,3352.941,21000.001,1/1,LCS4BJN81T1104041
26/000002,17/02/2026,K TRADING GLOBAL,,015,PISTA HR+ NOIR ROUGE 124 cc,1,3715.17,19,5,17647.059,3352.941,21000.001,1/1,LCS4BJN8XT1104006
26/000002,17/02/2026,K TRADING GLOBAL,,020,PISTA HR+ BLEU BEIGE 124 cc,1,3715.171,19,5,17647.059,3352.941,21000.001,1/1,LCS4BJN8XT1103941
26/000002,17/02/2026,K TRADING GLOBAL,,021,PISTA HR+ ROUGE NOIRE 124 cc,1,3715.171,19,5,17647.059,3352.941,21000.001,1/1,LCS4BJN8XT1103891
26/000003,25/02/2026,K TRADING GLOBAL,,014,PISTA HR+ VERT MARRON 124 cc,1,3715.17,19,5,24705.884,4694.118,29400.002,1/1,LCS4BJN82T1103917
26/000003,25/02/2026,K TRADING GLOBAL,,015,PISTA HR+ NOIR ROUGE 124 cc,1,3715.171,19,5,24705.884,4694.118,29400.002,1/2,LCS4BJN85T1103863
26/000003,25/02/2026,K TRADING GLOBAL,,015,PISTA HR+ NOIR ROUGE 124 cc,1,3715.171,19,5,24705.884,4694.118,29400.002,2/2,LCS4BJN8XT1103860
26/000003,25/02/2026,K TRADING GLOBAL,,020,PISTA HR+ BLEU BEIGE 124 cc,1,3715.171,19,5,24705.884,4694.118,29400.002,1/2,LCS4BJN80T1103933
26/000003,25/02/2026,K TRADING GLOBAL,,020,PISTA HR+ BLEU BEIGE 124 cc,1,3715.171,19,5,24705.884,4694.118,29400.002,2/2,LCS4BJN82T1103951
26/000003,25/02/2026,K TRADING GLOBAL,,021,PISTA HR+ ROUGE NOIRE 124 cc,1,3715.17,19,5,24705.884,4694.118,29400.002,1/1,LCS4BJN86T1103886
26/000003,25/02/2026,K TRADING GLOBAL,,022,PISTA HR+ CARBONE ROUGE 124 cc,1,3715.17,19,5,24705.884,4694.118,29400.002,1/1,LCS4BJN85T1103958
26/000004,11/03/2026,K TRADING GLOBAL,,071,BLASTER VERT 125cc,1,5440.3652,19,5,15505.041,2945.958,18450.999,1/1,LEHTDJ04XTRA00089
26/000004,11/03/2026,K TRADING GLOBAL,,072,BLASTER GRIS 125cc,1,5440.3652,19,5,15505.041,2945.958,18450.999,1/1,LEHTDJ041TRA00126
26/000004,11/03/2026,K TRADING GLOBAL,,073,BLASTER NOIR 125cc,1,5440.3652,19,5,15505.041,2945.958,18450.999,1/1,LEHTDJ042TRA00037
26/000005,20/03/2026,K TRADING GLOBAL,,500,HUILE MOTOS 10W40,24,11.756,19,0,420.288,79.855,500.143,, 
26/000005,20/03/2026,K TRADING GLOBAL,,501,HUILE MOTOS 20W50,12,11.512,19,0,420.288,79.855,500.143,,
26/000006,15/04/2026,K TRADING GLOBAL,,152,GHOST V7 124CC NOIR,1,4953.82,19,5,26890.776,5109.247,32000.023,1/2,LEHTCJ019TRA10427
26/000006,15/04/2026,K TRADING GLOBAL,,152,GHOST V7 124CC NOIR,1,4953.82,19,5,26890.776,5109.247,32000.023,2/2,LEHTCJ017TRA10474
26/000006,15/04/2026,K TRADING GLOBAL,,154,GHOST V7 124CC CARBON,1,4599.61,19,5,26890.776,5109.247,32000.023,1/2,LEHTCJ014TRA10318
26/000006,15/04/2026,K TRADING GLOBAL,,154,GHOST V7 124CC CARBON,1,4599.61,19,5,26890.776,5109.247,32000.023,2/2,LEHTCJ014TRA10321
26/000006,15/04/2026,K TRADING GLOBAL,,157,GHOST V7 124CC ROUGE,1,4599.61,19,5,26890.776,5109.247,32000.023,1/1,LEHTCJ013TRA10262
26/000006,15/04/2026,K TRADING GLOBAL,,156,GHOST V7 124CC TURQUOISE,1,4599.61,19,5,26890.776,5109.247,32000.023,1/1,LEHTCJ010TRA10199
26/000007,22/04/2026,K TRADING GLOBAL,,013,PISTA HR+ CARBONE 124 cc,1,3715.348,19,5,17647.900,3353.101,21001.001,1/1,LCS4BJN85T1200402
26/000007,22/04/2026,K TRADING GLOBAL,,014,PISTA HR+ VERT MARRON 124 cc,1,3715.348,19,5,17647.900,3353.101,21001.001,1/1,LCS4BJN80T1200047
26/000007,22/04/2026,K TRADING GLOBAL,,015,PISTA HR+ NOIR ROUGE 124 cc,1,3715.347,19,5,17647.900,3353.101,21001.001,1/1,LCS4BJN85T1200013
26/000007,22/04/2026,K TRADING GLOBAL,,020,PISTA HR+ BLEU BEIGE 124 cc,1,3715.347,19,5,17647.900,3353.101,21001.001,1/1,LCS4BJN85T1200352
26/000007,22/04/2026,K TRADING GLOBAL,,021,PISTA HR+ ROUGE NOIRE 124 cc,1,3715.347,19,5,17647.900,3353.101,21001.001,1/1,LCS4BJN85T1200321
